OWNER,TABLE_NAME
SYS,DUAL
SYS,SYSTEM_PRIVILEGE_MAP
SYS,TABLE_PRIVILEGE_MAP
SYS,STMT_AUDIT_OPTION_MAP
SYS,AUDIT_ACTIONS
SYS,WRR$_REPLAY_CALL_FILTER
SYS,HS_BULKLOAD_VIEW_OBJ
SYS,HS$_PARALLEL_METADATA
SYS,HS_PARTITION_COL_NAME
SYS,HS_PARTITION_COL_TYPE
SYSTEM,HELP
CTXSYS,DR$OBJECT_ATTRIBUTE
CTXSYS,DR$POLICY_TAB
CTXSYS,DR$THS
CTXSYS,DR$THS_PHRASE
CTXSYS,DR$NUMBER_SEQUENCE
XDB,XDB$XIDX_IMP_T
MDSYS,SRSNAMESPACE_TABLE
MDSYS,SDO_UNITS_OF_MEASURE
MDSYS,SDO_PRIME_MERIDIANS
MDSYS,SDO_ELLIPSOIDS
MDSYS,SDO_DATUMS
MDSYS,SDO_COORD_SYS
MDSYS,SDO_COORD_AXIS_NAMES
MDSYS,SDO_COORD_AXES
MDSYS,SDO_COORD_REF_SYS
MDSYS,SDO_COORD_OP_METHODS
MDSYS,SDO_COORD_OPS
MDSYS,SDO_PREFERRED_OPS_SYSTEM
MDSYS,SDO_PREFERRED_OPS_USER
MDSYS,SDO_COORD_OP_PATHS
MDSYS,SDO_COORD_OP_PARAMS
MDSYS,SDO_COORD_OP_PARAM_USE
MDSYS,SDO_COORD_OP_PARAM_VALS
MDSYS,SDO_CRS_GEOGRAPHIC_PLUS_HEIGHT
MDSYS,SDO_XML_SCHEMAS
SYS,AW$AWCREATE10G
SYS,AW$AWXML
SYS,AW$AWREPORT
SYSTEM,MVIEW$_ADV_INDEX
SYSTEM,MVIEW$_ADV_PARTITION
SYS,AW$EXPRESS
SYS,AW$AWMD
SYS,AW$AWCREATE
MDSYS,SDO_CS_SRS
MDSYS,NTV2_XML_DATA
MDSYS,SDO_PROJECTIONS_OLD_SNAPSHOT
MDSYS,SDO_ELLIPSOIDS_OLD_SNAPSHOT
MDSYS,SDO_DATUMS_OLD_SNAPSHOT
MDSYS,OGIS_SPATIAL_REFERENCE_SYSTEMS
MDSYS,OGIS_GEOMETRY_COLUMNS
MDSYS,SDO_WS_CONFERENCE
MDSYS,SDO_WS_CONFERENCE_RESULTS
MDSYS,SDO_WS_CONFERENCE_PARTICIPANTS
MDSYS,SDO_TIN_PC_SEQ
MDSYS,SDO_TIN_PC_SYSDATA_TABLE
APEX_030200,WWV_FLOW_DUAL100
MDSYS,SDO_GEOR_XMLSCHEMA_TABLE
MDSYS,SDO_GEOR_PLUGIN_REGISTRY
HRMS,TOAD_PLAN_TABLE
ORGANOGRAM,TOAD_PLAN_TABLE
HRMS_TEST,TOAD_PLAN_TABLE
POS,TOAD_PLAN_TABLE
WEP,HW_INFO
WEP,USERINFO
WEP,REGISTRATION
WEP,STUDENT
WEP,JEEUSER
WEP,MEMBER
WEP,AQ$_INTERNET_AGENTS
WEP,AQ$_INTERNET_AGENT_PRIVS
WEP,AQ$_QUEUES
WEP,AQ$_QUEUE_TABLES
WEP,AQ$_SCHEDULES
WEP,EXAM_G_C_BATCH_E_STUDENTS
SYS,PSTUBTBL
SYS,WRI$_ADV_ASA_RECO_DATA
SYS,PLAN_TABLE$
SYSTEM,OL$
SYSTEM,OL$HINTS
SYSTEM,OL$NODES
SYS,KU$NOEXP_TAB
SYS,KU$_LIST_FILTER_TEMP
SYS,KU$_LIST_FILTER_TEMP_2
SYS,ODCI_SECOBJ$
SYS,ODCI_WARNINGS$
SYS,ODCI_PMO_ROWIDS$
SYS,IMPDP_STATS
SYS,KU$_DATAPUMP_MASTER_11_2
SYS,KU$_DATAPUMP_MASTER_11_1_0_7
SYS,KU$_DATAPUMP_MASTER_11_1
SYS,KU$_DATAPUMP_MASTER_10_1
EXFSYS,RLM$PARSEDCOND
SYS,OLAPTABLEVELS
SYS,OLAPTABLEVELTUPLES
SYSTEM,MVIEW$_ADV_OWB
SYS,SAM_SPARSITY_ADVICE
OLAPSYS,OLAP_SESSION_DIMS
OLAPSYS,OLAP_SESSION_CUBES
MDSYS,SDO_ST_TOLERANCE
MDSYS,SDO_TXN_IDX_INSERTS
MDSYS,SDO_TXN_IDX_DELETES
MDSYS,SDO_TXN_IDX_EXP_UPD_RGN
MDSYS,SDO_CS_CONTEXT_INFORMATION
MDSYS,SDO_TOPO_TRANSACT_DATA
MDSYS,SDO_TOPO_RELATION_DATA
MDSYS,SDO_TOPO_DATA$
MDSYS,SDO_GR_MOSAIC_0
MDSYS,SDO_GR_MOSAIC_1
MDSYS,SDO_GR_MOSAIC_2
MDSYS,SDO_GR_MOSAIC_3
MDSYS,SDO_GR_RDT_1
MDSYS,SDO_WFS_LOCAL_TXNS
APEX_030200,WWV_FLOW_LOV_TEMP
APEX_030200,WWV_FLOW_TEMP_TABLE
